147,133,134,134,134,134,134,134,134,134,134,134,134,134,135,145
147,145,172,172,172,172,172,172,172,172,172,172,172,172,147,145
147,145,182,183,183,182,182,183,182,183,183,183,183,182,147,145
147,145,180,180,180,181,180,180,181,181,180,181,181,180,147,145
147,145,180,180,181,181,181,180,181,181,180,181,180,181,147,145
147,145,180,181,180,173,180,180,181,180,173,181,180,180,147,145
147,145,180,181,180,181,180,180,180,180,180,181,181,180,147,145
147,145,180,181,181,181,180,180,180,180,181,181,180,181,147,145
147,145,180,181,180,181,180,181,181,180,180,181,180,181,147,145
147,145,181,180,180,180,180,180,181,181,180,181,181,180,147,145
147,145,181,181,181,173,180,181,181,181,173,180,181,181,147,145
147,145,180,181,180,181,180,181,180,181,181,180,181,180,147,145
147,145,181,180,180,180,181,181,181,180,181,180,181,181,147,145
147,145,180,181,181,180,180,180,181,181,180,180,180,181,147,145
147,145,180,181,136,158,158,158,158,158,158,158,158,158,159,145
147,145,181,180,147,144,132,132,132,156,156,144,132,132,144,145
