144,133,134,134,135,132,145,181,181,180,180,180,180,147,145,181,180,181,181,181
132,145,142,143,147,132,145,180,180,223,223,180,181,147,145,181,201,202,202,202
156,145,183,182,147,144,145,195,180,180,181,180,180,147,145,180,187,136,158,158
132,145,180,174,147,132,157,158,158,158,158,158,158,159,145,180,200,147,132,156
132,145,180,181,148,138,134,134,134,134,134,134,134,138,149,181,180,147,132,132
156,145,174,180,189,150,172,172,125,178,179,125,172,150,191,208,208,147,132,132
132,145,181,181,180,162,183,173,183,182,182,183,185,162,181,181,180,147,144,132
132,145,181,173,180,180,180,180,180,180,174,181,181,173,174,181,181,147,132,132
132,145,181,180,181,174,181,173,180,181,181,180,180,180,180,181,181,147,156,132
144,157,158,158,158,158,158,158,158,158,158,158,158,158,137,181,174,147,132,132
132,144,156,132,156,132,156,133,134,134,134,138,134,134,149,181,180,147,132,132
132,132,132,132,132,144,132,145,172,152,172,150,172,152,191,180,173,147,156,132
132,132,133,134,138,134,138,149,182,164,183,162,182,164,185,174,181,147,132,132
132,132,145,172,150,172,150,191,181,181,180,181,181,181,181,181,181,147,132,144
132,132,145,182,162,183,162,173,180,180,180,180,174,180,180,180,181,147,132,132
132,144,145,174,180,181,174,181,180,174,180,180,180,180,181,174,181,147,132,156
144,132,145,180,180,180,180,173,181,181,181,180,181,180,180,136,158,159,132,132
132,132,145,174,180,181,136,137,180,180,180,180,180,180,180,147,144,132,132,132
132,132,145,181,181,181,147,157,158,158,158,158,158,158,158,159,132,132,132,132
144,132,145,181,174,180,147,144,132,133,134,134,134,134,134,135,132,132,132,132
132,132,145,180,180,181,147,132,144,145,172,172,172,172,172,147,132,156,132,132
132,132,145,174,180,181,147,132,132,145,181,224,180,181,181,147,132,132,132,132
132,156,145,181,181,174,147,156,132,145,180,181,180,195,180,147,132,132,144,132
132,132,145,180,181,180,147,132,156,157,158,158,158,158,158,159,132,144,132,132
156,132,145,181,181,174,148,138,134,138,134,134,134,138,134,138,134,135,132,132
132,132,145,180,181,181,189,150,172,150,172,177,172,150,172,150,172,147,132,132
132,132,145,181,181,181,182,162,182,162,182,182,182,162,182,162,185,147,132,132
132,156,145,181,173,181,174,181,181,181,181,180,180,174,174,181,181,147,132,132
132,132,145,181,180,181,181,174,180,180,181,180,181,180,181,181,180,147,156,132
156,132,157,158,158,158,158,158,158,158,158,158,158,158,137,180,174,147,156,132
134,134,134,134,134,134,134,134,134,134,134,134,134,134,149,174,180,148,134,134
172,172,172,172,172,172,172,172,172,172,172,172,172,172,191,181,174,189,172,172
