19,19,19,32,80,81,45,81,45,81,45,81,45,81,45,81,45,81,45,81,45,81,45,81,45,81,82,21,22,22,22,22
19,19,32,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,27,0,0,0,33,22,22,22
19,32,0,52,53,54,0,0,0,0,0,28,0,0,0,0,0,0,0,0,48,49,50,0,0,2,1,0,21,22,22,22
19,20,2,64,65,66,52,53,54,2,0,0,0,0,0,4,0,0,1,0,60,63,62,0,0,0,3,0,0,33,22,22
19,20,1,76,88,79,64,67,66,0,2,0,92,0,1,16,0,0,0,0,72,85,75,81,82,0,15,0,1,0,33,22
19,20,0,76,77,77,76,89,79,0,0,0,104,0,0,0,0,0,0,1,0,43,0,0,0,0,0,0,1,0,21,22
19,20,0,0,0,0,0,43,1,0,0,0,43,0,0,0,27,1,0,0,0,43,0,0,0,0,0,0,0,0,21,22
19,20,0,0,0,2,0,43,0,1,17,0,43,0,0,0,0,0,0,43,43,43,0,0,102,0,0,102,0,0,21,22
19,20,1,0,0,0,0,43,43,43,43,43,43,43,43,43,43,43,43,43,0,2,0,0,190,103,97,190,0,0,21,22
19,20,0,1,0,0,0,0,17,0,0,0,0,0,43,0,0,0,0,43,0,0,0,96,190,121,121,190,98,0,21,22
19,20,1,44,45,45,45,48,51,49,50,0,0,0,43,0,1,0,1,43,0,0,0,120,189,111,112,191,122,0,21,22
19,20,0,56,94,43,94,60,61,63,62,1,1,0,43,0,0,0,0,43,0,27,0,189,189,123,124,191,191,0,21,22
19,20,0,68,82,43,80,72,84,85,75,0,0,0,43,0,2,4,0,43,0,0,1,0,0,43,43,0,1,0,21,22
19,8,0,2,0,0,0,0,0,43,43,43,43,43,43,0,0,16,0,43,29,0,0,1,0,43,43,0,0,1,9,22
19,19,8,0,0,0,1,0,0,1,0,0,17,0,0,0,0,0,0,43,43,43,43,43,43,43,43,0,1,9,22,22
19,19,19,20,80,81,81,81,45,81,81,81,45,81,81,81,45,81,81,81,45,81,81,81,45,81,81,82,9,22,22,22
